#  upper     lower       A_ul
2.0000e+00 1.0000e+00 4.6986e+08
3.0000e+00 1.0000e+00 5.5751e+07
4.0000e+00 1.0000e+00 1.2785e+07
5.0000e+00 1.0000e+00 4.1250e+06
6.0000e+00 1.0000e+00 1.6440e+06
7.0000e+00 1.0000e+00 7.5684e+05
8.0000e+00 1.0000e+00 3.8694e+05
9.0000e+00 1.0000e+00 2.1425e+05
1.0000e+01 1.0000e+00 1.2631e+05
3.0000e+00 2.0000e+00 4.4101e+07
4.0000e+00 2.0000e+00 8.4193e+06
5.0000e+00 2.0000e+00 8.4193e+06
6.0000e+00 2.0000e+00 9.7320e+05
7.0000e+00 2.0000e+00 4.3889e+05
8.0000e+00 2.0000e+00 2.2148e+05
9.0000e+00 2.0000e+00 1.2156e+05
1.0000e+01 2.0000e+00 7.1225e+04
4.0000e+00 3.0000e+00 8.9860e+06
5.0000e+00 3.0000e+00 2.2008e+06
6.0000e+00 3.0000e+00 7.7829e+05
7.0000e+00 3.0000e+00 3.3585e+05
8.0000e+00 3.0000e+00 1.6506e+05
9.0000e+00 3.0000e+00 8.9050e+04
1.0000e+01 3.0000e+00 5.1558e+04
5.0000e+00 4.0000e+00 2.6993e+06
6.0000e+00 4.0000e+00 7.7110e+05
7.0000e+00 4.0000e+00 3.0415e+05
8.0000e+00 4.0000e+00 1.4242e+05
9.0000e+00 4.0000e+00 7.4593e+04
1.0000e+01 4.0000e+00 4.2347e+04
6.0000e+00 5.0000e+00 1.0254e+06
7.0000e+00 5.0000e+00 3.2528e+05
8.0000e+00 5.0000e+00 1.3877e+05
9.0000e+00 5.0000e+00 6.9078e+04
1.0000e+01 5.0000e+00 3.7999e+04
7.0000e+00 6.0000e+00 4.5608e+05
8.0000e+00 6.0000e+00 1.5609e+05
9.0000e+00 6.0000e+00 7.0652e+04
1.0000e+01 6.0000e+00 3.6881e+04
8.0000e+00 7.0000e+00 2.2720e+05
9.0000e+00 7.0000e+00 8.2370e+04
1.0000e+01 7.0000e+00 3.9049e+04
9.0000e+00 8.0000e+00 1.2328e+05
1.0000e+01 8.0000e+00 4.6762e+04
1.0000e+01 9.0000e+00 7.1514e+04
